NAME,C02003_003E,state,zip code tabulation area,GEOID,percent
ZCTA5 76002,14506,48,76002,4876002,14.506
ZCTA5 76016,25110,48,76016,4876016,25.11
ZCTA5 76023,6316,48,76023,4876023,6.316
ZCTA5 76035,1562,48,76035,4876035,1.562
ZCTA5 76049,28023,48,76049,4876049,28.023
ZCTA5 76051,41885,48,76051,4876051,41.885
ZCTA5 76055,2208,48,76055,4876055,2.208
ZCTA5 76063,49961,48,76063,4876063,49.961
ZCTA5 76066,2394,48,76066,4876066,2.394
ZCTA5 76086,21032,48,76086,4876086,21.032
ZCTA5 76087,25418,48,76087,4876087,25.418
ZCTA5 76115,11415,48,76115,4876115,11.415
ZCTA5 76123,16760,48,76123,4876123,16.76
ZCTA5 76135,20316,48,76135,4876135,20.316
ZCTA5 76201,21074,48,76201,4876201,21.074
ZCTA5 76207,12228,48,76207,4876207,12.228
ZCTA5 76252,2703,48,76252,4876252,2.703
ZCTA5 76264,1383,48,76264,4876264,1.383
ZCTA5 76309,11149,48,76309,4876309,11.149
ZCTA5 76310,16187,48,76310,4876310,16.187
ZCTA5 76363,398,48,76363,4876363,0.398
ZCTA5 76453,1221,48,76453,4876453,1.221
ZCTA5 76469,78,48,76469,4876469,0.078
ZCTA5 76470,3260,48,76470,4876470,3.26
ZCTA5 76481,255,48,76481,4876481,0.255
ZCTA5 76523,0,48,76523,4876523,0.0
ZCTA5 76525,1011,48,76525,4876525,1.011
ZCTA5 76528,14880,48,76528,4876528,14.88
ZCTA5 76301,9406,48,76301,4876301,9.406
ZCTA5 76882,233,48,76882,4876882,0.233
ZCTA5 78041,44980,48,78041,4878041,44.98
ZCTA5 78056,1636,48,78056,4878056,1.636
ZCTA5 78059,5456,48,78059,4878059,5.456
ZCTA5 78071,3725,48,78071,4878071,3.725
ZCTA5 78107,340,48,78107,4878107,0.34
ZCTA5 78112,7443,48,78112,4878112,7.443
ZCTA5 78114,21363,48,78114,4878114,21.363
ZCTA5 78118,3094,48,78118,4878118,3.094
ZCTA5 78124,4763,48,78124,4878124,4.763
ZCTA5 78142,154,48,78142,4878142,0.154
ZCTA5 78159,670,48,78159,4878159,0.67
ZCTA5 78145,145,48,78145,4878145,0.145
ZCTA5 78147,2082,48,78147,4878147,2.082
ZCTA5 78151,1185,48,78151,4878151,1.185
ZCTA5 78214,22826,48,78214,4878214,22.826
ZCTA5 78244,18039,48,78244,4878244,18.039
ZCTA5 78252,10010,48,78252,4878252,10.01
ZCTA5 78344,353,48,78344,4878344,0.353
ZCTA5 78349,549,48,78349,4878349,0.549
ZCTA5 78362,8925,48,78362,4878362,8.925
ZCTA5 78537,40336,48,78537,4878537,40.336
ZCTA5 78560,4871,48,78560,4878560,4.871
ZCTA5 78562,3633,48,78562,4878562,3.633
ZCTA5 78569,4050,48,78569,4878569,4.05
ZCTA5 78579,4346,48,78579,4878579,4.346
ZCTA5 78584,18542,48,78584,4878584,18.542
ZCTA5 78596,55444,48,78596,4878596,55.444
ZCTA5 78641,55754,48,78641,4878641,55.754
ZCTA5 78655,2995,48,78655,4878655,2.995
ZCTA5 78661,230,48,78661,4878661,0.23
ZCTA5 78605,5872,48,78605,4878605,5.872
ZCTA5 78611,12240,48,78611,4878611,12.24
ZCTA5 78619,4221,48,78619,4878619,4.221
ZCTA5 78648,6024,48,78648,4878648,6.024
ZCTA5 78653,10971,48,78653,4878653,10.971
ZCTA5 78729,23169,48,78729,4878729,23.169
ZCTA5 78638,1998,48,78638,4878638,1.998
ZCTA5 78618,298,48,78618,4878618,0.298
ZCTA5 78620,16042,48,78620,4878620,16.042
ZCTA5 78629,7718,48,78629,4878629,7.718
ZCTA5 78645,10673,48,78645,4878645,10.673
ZCTA5 78650,1260,48,78650,4878650,1.26
ZCTA5 78662,2172,48,78662,4878662,2.172
ZCTA5 78719,1170,48,78719,4878719,1.17
ZCTA5 78723,21822,48,78723,4878723,21.822
ZCTA5 78010,2592,48,78010,4878010,2.592
ZCTA5 78014,4111,48,78014,4878014,4.111
ZCTA5 78023,25454,48,78023,4878023,25.454
ZCTA5 78025,4408,48,78025,4878025,4.408
ZCTA5 78061,9732,48,78061,4878061,9.732
ZCTA5 78073,8070,48,78073,4878073,8.07
ZCTA5 78738,13640,48,78738,4878738,13.64
ZCTA5 78067,579,48,78067,4878067,0.579
ZCTA5 78072,458,48,78072,4878072,0.458
ZCTA5 78116,275,48,78116,4878116,0.275
ZCTA5 78418,26808,48,78418,4878418,26.808
ZCTA5 78576,10600,48,78576,4878576,10.6
ZCTA5 78578,11159,48,78578,4878578,11.159
ZCTA5 78586,52656,48,78586,4878586,52.656
ZCTA5 79382,6401,48,79382,4879382,6.401
ZCTA5 79415,12044,48,79415,4879415,12.044
ZCTA5 79508,1338,48,79508,4879508,1.338
ZCTA5 79512,5939,48,79512,4879512,5.939
ZCTA5 79527,187,48,79527,4879527,0.187
ZCTA5 79532,671,48,79532,4879532,0.671
ZCTA5 79540,77,48,79540,4879540,0.077
